,Nombre,Apellidos,Area,Num_Publicaciones,Publicacion,Extra
103,María del Carmen,Rubio Armendáriz,Toxicología,19,"Analysis of two coastal pelagic fish species (Sardinella aurita and Scomber colias) for early detection of the impact of anthropogenic metals released into the marine environmentRegional Studies in Marine Science, Vol. 74",
104,María del Carmen,Rubio Armendáriz,Toxicología,19,"Comparative analysis of metal pollution in the Atlantic Ocean and Mediterranean Sea: insights from Anemonia sulcata studyMarine Pollution Bulletin, Vol. 200",
105,María del Carmen,Rubio Armendáriz,Toxicología,19,"El relevante papel de los cuidadores de pacientes usuarios de analgésicos opioidesFarmacéuticos comunitarios, Vol. 16, Núm. 4",
106,María del Carmen,Rubio Armendáriz,Toxicología,19,"Exposure Assessment of Essential and Potentially Toxic Elements (PTEs) from Chia SeedsJournal of Xenobiotics, Vol. 14, Núm. 4, pp. 1836-1848",
108,María del Carmen,Rubio Armendáriz,Toxicología,19,"Fluoride exposure from consumption of some animal-based foods in an outermost region of EuropeJournal of Food Composition and Analysis, Vol. 133",
109,María del Carmen,Rubio Armendáriz,Toxicología,19,"Human Exposure to Trace Elements (Al, B, Ba, Cd, Cr, Li, Ni, Pb, Sr, V) from Consumption of Dried Fruits Acquired in SpainFoods, Vol. 13, Núm. 17",
110,María del Carmen,Rubio Armendáriz,Toxicología,19,"Human health risk assessment of metals in soil samples of a Brazilian city with a historic contamination complexEnvironmental Science and Pollution Research, Vol. 31, Núm. 6, pp. 9408-9420",
111,María del Carmen,Rubio Armendáriz,Toxicología,19,"Impact of a Community Pharmacy Pharmacotherapy Follow-up (PTF) service in patients using opioid analgesicExploratory Research in Clinical and Social Pharmacy, Vol. 13",
120,María del Carmen,Rubio Armendáriz,Toxicología,19,"Understanding metal contamination in Anemonia sulcata: Effects of proximity to a submarine sewage pipeRegional Studies in Marine Science, Vol. 77",
119,María del Carmen,Rubio Armendáriz,Toxicología,19,"Soft Drinks as a Dietary Source of Fluoride ExposureBiological Trace Element Research, Vol. 202, Núm. 8, pp. 3816-3828",
118,María del Carmen,Rubio Armendáriz,Toxicología,19,"Risk Characterization in Patients Using Benzodiazepines While Providing Pharmaceutical Care Dispensing ServicePHARMACY, Vol. 12, Núm. 4",
117,María del Carmen,Rubio Armendáriz,Toxicología,19,"Review of metal concentrations in marine organisms in the Canary Islands: Insights from twenty-three years of researchRegional Studies in Marine Science, Vol. 71",
116,María del Carmen,Rubio Armendáriz,Toxicología,19,"Metal variability of the shrimp Palaemon elegans across coastal zones: anthropogenic and geological impactsEnvironmental Science and Pollution Research, Vol. 31, Núm. 50, pp. 59882-59893",
115,María del Carmen,Rubio Armendáriz,Toxicología,19,"Metal variability in small pelagic fish Scomber colias as influenced by volcanic events in the Canary IslandsEnvironmental Science and Pollution Research, Vol. 31, Núm. 37, pp. 49800-49810",
114,María del Carmen,Rubio Armendáriz,Toxicología,19,"Metal concentrations in echinoderms: Assessing bioindicator potential and ecological implicationsMarine Pollution Bulletin, Vol. 205",
112,María del Carmen,Rubio Armendáriz,Toxicología,19,"Impact of natural events on metal bioaccumulation in Anemonia sulcataMarine Pollution Bulletin, Vol. 202",
107,María del Carmen,Rubio Armendáriz,Toxicología,19,"Fluoride Risk Assessment of Different Brands of Coffee Commercialized in the Canary IslandsApplied Sciences (Switzerland), Vol. 14, Núm. 16",
121,Casilda,Álvarez Siverio,Filología Griega,0,,
